Fabricant;Produit;Reference;Quantité;Réel;Activé;"Prix Achat";"Prix Vente";"Total Achat";"Total Vente"
"MDN Productions";"Marie et la France - Un lien extraordinaire à redécouvrir";21-UNITE;288;;Oui;0.61;7.39;175.68;2129.29
"MDN Productions";"Marie et la France - Un lien extraordinaire à redécouvrir";21-UNITE;126;;Oui;0.61;7.39;76.86;931.56
"MDN Productions";"Marie et la France - Un lien extraordinaire à redécouvrir";21-UNITE;162;;Oui;0.61;7.39;98.82;1197.73
"MDN Productions";"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques";97-UNITE;946;;Oui;0.88;6.54;830.21;6187.11
"MDN Productions";"Neuvaine à l'Archange Saint Michel";124-UNITE;399;;Oui;0.78;4.74;311.86;1891.00
"MDN Productions";"Neuvaine à l'Immaculée avec Maximilien Kolbe";121-UNITE;731;;Oui;0.78;4.74;570.18;3464.45
"MDN Productions";"Neuvaine à l'Immaculée Conception";100-UNITE;363;;Oui;0.77;4.74;279.51;1720.38
"MDN Productions";"Neuvaine à la Vierge Marie avec la petite Thérèse";92-UNITE;1536;;Oui;1.00;4.74;1536.00;7279.62
"MDN Productions";"Neuvaine à Notre Dame de la Médaille Miraculeuse";131-UNITE;532;;Oui;0.85;4.74;451.54;2521.33
"MDN Productions";"Neuvaine à Notre Dame de Pontmain pour soutenir l'Espérance";101-UNITE;762;;Oui;0.78;4.74;595.58;3611.37
"MDN Productions";"Neuvaine à Notre Dame du Mont-Carmel avec les saints du Carmel";88-UNITE;1685;;Oui;1.00;4.74;1685.00;7985.78
"MDN Productions";"Neuvaine à Notre Dame Libératrice du Sanctuaire de Montligeon";96-UNITE;492;;Oui;0.54;4.74;265.83;2331.75
"MDN Productions";"Neuvaine à Saint Joseph pour la famille";82-UNITE;2062;;Oui;0.29;4.74;593.96;9772.51
"MDN Productions";"Neuvaine à saint Louis-Marie Grignion de Montfort";85-UNITE;2102;;Oui;1.00;4.74;2102.00;9962.08
"MDN Productions";"Neuvaine à St Joseph pour préparer Noël en méditant les mystères de l'Avent";130-UNITE;682;;Oui;0.85;4.74;578.81;3232.23
"MDN Productions";"Neuvaine au Coeur Immaculé de Marie";117-UNITE;1109;;Oui;0.78;4.74;866.79;5255.92
"MDN Productions";"Neuvaine au Sacré-Cœur de Jésus pour la guérison de toutes les maladies";87-UNITE;788;;Oui;0.43;4.74;341.99;3734.60
"MDN Productions";"Neuvaine au Saint-Esprit avec Marie";86-UNITE;2184;;Oui;0.33;4.74;717.99;10350.71
"MDN Productions";"Neuvaine de préparation pour se consacrer aux Cœurs Unis";104-UNITE;401;;Oui;1.11;4.74;445.11;1900.47
"MDN Productions";"Neuvaine Marie qui défait les nœuds de la maladie - Version 2022";123-UNITE;1090;;Oui;0.66;4.74;723.76;5165.88
"MDN Productions";"Neuvaine Marie qui défait les nœuds pour la famille - Version 2022";122-UNITE;426;;Oui;0.47;4.74;200.22;2018.96
"MDN Productions";"Neuvaine pour méditer l'Annonciation";107-UNITE;401;;Oui;1.12;4.74;449.12;1900.47
"MDN Productions";"Neuvaine sur les pas de Bernadette pour redire « oui » à Dieu avec Marie";81-UNITE;4514;;Oui;0.22;4.74;993.08;21393.36
"MDN Productions";"Notre Histoire avec Marie";84-UNITE;196;;Oui;6.01;27.49;1177.96;5387.68
