"Nom produit";Référence;"Prix HT";Taxe;Actif;Catégorie
"Neuvaine à Thomas d'Aquin avec la Vierge Marie";217-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine au Coeur Immaculé de Marie";117-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine au Curé d'Ars";162-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine au précieux sang de Jésus";216-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine au Sacré-Cœur de Jésus pour la guérison de toutes les maladies";87-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine au Saint-Esprit avec Marie";86-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine de préparation pour se consacrer aux Cœurs Unis";104-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine intégrale Marie qui défait les noeuds reliée et enluminée";141-UNITE;18.009479;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine Marie qui défait les noeuds pour le travail";165-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine Marie qui défait les nœuds de la maladie - Version 2022";123-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine Marie qui défait les nœuds pour la famille - Version 2022";122-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine Marie qui défait les nœuds pour les couples";169-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine pour l'unité des Chrétiens";189-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine pour méditer l'Annonciation";107-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine Prions Marie pour la paix";134-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine sur les pas de Bernadette pour redire « oui » à Dieu avec Marie";81-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Notre Dame de Guadalupe";243-UNITE;18.957346;"FR Taux réduit (5.5%)";1;Accueil
"Notre Dame qui défait les nœuds - Le cadeau du pape François au monde";60-UNITE;16.018957;"FR Taux réduit (5.5%)";1;Accueil
"Notre Histoire avec Marie_nouvelle version Notre Dame";167-UNITE;27.488152;"FR Taux réduit (5.5%)";1;Accueil
"Novena a Maria che scioglie i nodi (IT)";71-UNITE;3.791469;"FR Taux réduit (5.5%)";1;"Langues étrangères"
"Oeuvres complètes de St Louis-Marie Grignion de Montfort";204-UNITE;74.881517;"FR Taux réduit (5.5%)";1;Accueil
"Pack missionnaire 7 bandes dessinées ""1000 raisons de croire"" + 50 livrets missionnaires offerts";259-PACKBD;93.838863;"FR Taux réduit (5.5%)";1;Accueil
"Pack of 10 bookmarks (EN)";64-LOT10;8.333333;"FR Taux standard (20%)";1;"Langues étrangères"
"Paquete de diez ejemplares ""Maria, desata de nudos"" (ES)";63-LOT10;8.333333;"FR Taux standard (20%)";1;"Langues étrangères"
"Pluie de roses";244-UNITE;18.009479;"FR Taux réduit (5.5%)";1;Accueil
